test_id,timestamp,date,url,track,method,model_selector,model_observed,input_est_chars,hypothesis_match,windsurf_version,notes,approval_required,pagination_observed,output_chars,truncated,truncation_char_num,tokens_est,tools_used,tools_blocked,execution_attempts,cascade_reported_output_chars,cascade_reported_truncated,cascade_reported_truncation_point,cascade_reported_tokens_est,cascade_reported_file_size_bytes,cascade_reported_md5_checksum,cascade_reported_lines,cascade_reported_words,cascade_reported_code_blocks,cascade_reported_table_rows,cascade_reported_headers,verified_file_size_bytes,verified_md5_checksum,verified_total_lines,verified_total_words,verified_tokens,verified_chars_per_token,verified_code_blocks,verified_table_rows,verified_headers
BL-1,2026-04-07T11:51:48.760391,2026-04-07,https://www.mongodb.com/docs/manual/reference/change-events/create/,interpreted,cascade-implicit,Hybrid Arena,Claude Sonnet 4.6 Thinking,87040,"H1-indeterminate, H2-no, H3-indeterminate, H4-untested, H5-no",1.9600.40-pro,"1st run of BL-1 read_url_content returns a chunked index of 54 positions (0-53), not full document body. Agent retrieved chunks 0 and 53 only (~1800 and ~3000 chars respectively). Full character count unattainable without fetching all 54 chunks individually — agent acknowledged this explicitly. Truncation is architectural by design, not a fixed size or token ceiling. H1 indeterminate: chunked architecture prevents confirming or denying a fixed character ceiling. H2 no: token estimate ~40,000-70,000 across all chunks rules out a 2,000 token ceiling. H3 indeterminate: content dominated by raw inline CSS from MongoDB LeafyGreen UI component library, no structured Markdown present to assess boundary-aware truncation. H4 untested: @web directive not used. H5 no: view_content_chunk invoked explicitly at positions 0 and 53, not auto-paginated — agent sampled chunk endpoints rather than iterating sequentially. search_web not invoked, but view_content_chunk was called 2x for positions 0 and 53.",yes,no,4800,yes,,55000,,,,,,,,,,,,,,,,,,,,,,,
BL-1,2026-04-07T13:44:06.184763,2026-04-07,https://www.mongodb.com/docs/manual/reference/change-events/create/,interpreted,cascade-implicit,Hybrid Arena,GPT-5.3 Codex Medium,87040,"H1-indeterminate, H2-no, H3-indeterminate, H4-untested, H5-partial",1.9600.40-pro,"2nd run read_url_content returned chunked index of 54 positions (0-53), ~5100 chars. Agent explicitly sampled chunk 53 (position 53) to assess completeness, ~10200 chars combined. Chunk summaries showed '/' indicating incomplete surfaced content. Not clean Markdown — structured/chunked extraction with embedded CSS-like text. Perceived completeness: no — chunk manifest and partial content, not full ~85KB page. Visible identifiers: DocumentId, Position, Chunk content, MARKDOWN_NODE_TYPE_HEADER_1, MARKDOWN_NODE_TYPE_HEADER_2. view_content_chunk used, search_web not. Cross-model pattern: both GPT-5.3-Codex and Claude Sonnet 4.6 Thinking sampled chunk endpoints (0 and 53) rather than iterating sequentially — neither auto-paginated.",yes,yes-prompted,10200,yes,,2550,,,,,,,,,,,,,,,,,,,,,,,
BL-1,2026-04-07T14:18:16.468884,2026-04-07,https://www.mongodb.com/docs/manual/reference/change-events/create/,interpreted,cascade-implicit,Hybrid Arena,Claude Opus 4.6 Thinking,87040,"H1-no, H2-no, H3-indeterminate, H4-untested, H5-yes",1.9600.40-pro,"3rd run selected Claude Opus 4.6 Thinking, retrieved all 54 chunks in parallel with view_content_chunk, first H5-yes in dataset. Two-level truncation architecture confirmed, as L1 read_url_content broke document into 54 chunks, appears complete, final chunks contain footer nav; L2 view_content_chunk internally truncated 51 of 54 chunks, ranging 208 bytes of chunk 1 and 20540 of chunk 15 ~132KB hidden content. Only chunks 48, 49, 50 delivered without internal truncation. Model never sees complete portion of most chunks. Total fetched ~220-240KB, far exceeds expected ~85KB due to full rendered page including inline CSS from MongoDB LeafyGreen UI component library, duplicated nav 3x, no clean Markdown code blocks. Token est ~55-65k at 4chars/token for mixed CSS/text. Perceived completeness - page end appears reached but mid-chunk content unverifiable. read_url_content called once, returned chunk index with 54 positions (0-53), did not return inline content, view_content_chunk called 54x, search_web not used.",yes,yes-auto,100000,yes,20540,60000,,,,,,,,,,,,,,,,,,,,,,,
BL-1,2026-04-07T15:49:48.019270,2026-04-07,https://www.mongodb.com/docs/manual/reference/change-events/create/,interpreted,cascade-implicit,Hybrid Arena,Kimi K2.5,87040,"H1-indeterminate, H2-no, H3-indeterminate, H4-untested, H5-no",1.9600.40-pro,"4th run selected Kimi K2.5, retrieved 6 out of 54 chunks with view_content_chunk - positions 0, 1, 50-53 tail-weighted sampling, distinct from other sampling. ~15k-20k chars estimated, ~3750-5k tokens across 6 chunks, truncation reported, final chunk ends with nav fragments. Markdown incomplete, CSS class strings mixed with headers, code blocks interspersed with UI element classes. Opus retrieved same final chunks and concluded docs locally defensible given nav-heavy tail content; document ID used, read_url_content used, search_web not.",yes,yes-auto,17500,yes,,4000,,,,,,,,,,,,,,,,,,,,,,,
BL-1,2026-04-07T17:26:18.451263,2026-04-07,https://www.mongodb.com/docs/manual/reference/change-events/create/,interpreted,cascade-implicit,Hybrid Arena,SWE-1.5,87040,"H1-indeterminate, H2-no, H3-indeterminate, H4-untested, H5-yes",1.9600.40-pro,"5th run selected SWE-1.5, Cognition's model, most confident self-report, retrieved multiple chunks with view_content_chunk iteratively - Summary, Description, Example sections in sequence, reasoning about completeness before each fetch. Only model in test ID to report no truncation, claims full content received, content flows, logically, no abrupt cutoff, includes CSS class names as part of framework, docs appear complete despite expected 85KB is different is that it doesn't report any internal truncation, different interpretation of the task, used 5/6 chars heuristic for token est; used real_url_content and not search_web.",yes,yes-prompted,16500,no,,3300,,,,,,,,,,,,,,,,,,,,,,,
BL-2,2026-04-08T20:47:08.901059,2026-04-08,https://www.mongodb.com/docs/manual/reference/change-events/create.md,interpreted,cascade-implicit,Hybrid Arena,GPT-5.3-Codex Medium,20480,"H1-partially, H2-no, H3-no, H4-no, H5-yes",1.9600.41-pro,"1st run selected GPT-5.3-Codex Medium calls read_url_content, used create Event, analyzed content 4x, noticeably took a while, estimated chars by concatenating text payloads returned for chunk positions 0, 1, 2; estimated tokens by chars/4. Truncation: chunked output with hard-split mid-table, malformed prefix, transformed link domains, suggesting normalized chunk extraction. Mostly Markdown, but mixed with HTML, partially-transformed. Invoked view_content_chunk for positions 0, 1, 2, with 2 re-read, but search_web not used.",yes,yes-auto,10300,yes,,2600,,,,,,,,,,,,,,,,,,,,,,,
BL-2,2026-04-08T20:58:47.179458,2026-04-08,https://www.mongodb.com/docs/manual/reference/change-events/create.md,interpreted,cascade-implicit,Hybrid Arena,Claude Sonnet 4.6 Thinking,20480,"H1-no, H2-no, H3-no, H4-no, H5-yes",1.9600.41-pro,"2nd run selected Claude Sonnet 4.6 significantly less output, created outline, analyzed content create Event 3x, 2 chunks. Combined all 3 chunks for char count, including chunk wrapper metadata, pure text ~5300 chars, well below estimated 20KB. Appears partially truncated, described chunked as truncated not in the traditional sense; read_url_content returned chunk indewx first, then view_content_chunk had to be called 3x to retrieve 0, 1, 2 but chunk ends mid-table, claims no chunks beyond position 2 exist. Claims HTML chunk half complete, mix of raw HTML but claims document appears complete, did not use search_web.",yes,yes-auto,6050,yes,,1500,,,,,,,,,,,,,,,,,,,,,,,
BL-2,2026-04-08T21:17:20.303055,2026-04-08,https://www.mongodb.com/docs/manual/reference/change-events/create.md,interpreted,cascade-implicit,Hybrid Arena,Claude Opus 4.6 Thinking,20480,"H1-no, H2-no, H3-no, H4-no, H5-yes",1.9600.41-pro,"3rd run selected Claude Opus, by far the most analytical output but chat UI is half-rendered and half-raw Markdown, like maybe the agent ran out of tokens while completing chat output. Same pattern as previous runs, fetching then analyzing content 3x. Including tool metadata ~5800 chars well below expected 20KB, this tool doesn't return raw source, but parses, chunks, strips the page. Token estimate 3.5-4 chars/token for mixed HTML/Markdown. Claims trucation/loss in at least two places between chunk 1 and 2, structural data loss, likely stripped during HTML text conversion, but as I observe the content link, this looks accurate, not reflective of Cascade, but the page itself. Core semantic content appears mostly complete, recognizes delivery isn't raw source, but parsed/rendered version, chunking pipeline introduced mid-row split, some fields have metadata, suggests 70% original content present. Called read_urtwo-phase fetch - index into chunks, summmaries, retrieves chunks",yes,yes-auto,5000,yes,,1650,,,,,,,,,,,,,,,,,,,,,,,
BL-2,2026-04-08T21:47:44.699060,2026-04-08,https://www.mongodb.com/docs/manual/reference/change-events/create.md,interpreted,cascade-implicit,Hybrid Arena,SWE-1.6,20480,"H1-no, H2-no, H3-no, H4-no, H5-yes",1.9600.41-pro,"4th run selects Cognition's new model SWE-1.6, most confidently wrong. Same pattern, uses read_url_content, 3 calls to view_content_chunk. Used 4 chars/token heuristic. Recognizes truncation and incompleteness, tables and fields cut off, claims to have retrieved 24% of document, method identifiers DocumentID, headers MARKDOWN_NODE_TYPE_HEADEreports fetch incomplete, doc chunked into 3 parts, but appears truncated, but source doc is rendered this way, metacognitive failure, doesn't lack ability to check, it just doesn't.",yes,yes-auto,4837,yes,,1200,,,,,,,,,,,,,,,,,,,,,,,
BL-2,2026-04-08T22:10:28.245760,2026-04-08,https://www.mongodb.com/docs/manual/reference/change-events/create.md,interpreted,cascade-implicit,Hybrid Arena,GPT-5.4 Low Thinking,20480,"H1-no, H2-no, H3-no, H4-no, H5-yes",1.9600.41-pro,"5th run selected GPT-5.4 confirms retrieval determinism, pipipeline behaved identically, called read_url_content 1x, called view_content_chunk 3x, search_web not called, same txnNumber split/chunk boundary. Claims counts based on content exposed by the chunks, not the raw network payload. Used 4 chars/token heuristic. Claims tool-output chunking/extraaction truncatioource page itself incompletely fetched, likely complete in meaning, but not guaranteed byte-for-byte complete. Visible identifiers MARKDOWN_NODE_TYPE_HEADER_1 and 2, positions 0, 1, 2 with DocumentId.",yes,yes-auto,6900,yes,,1750,,,,,,,,,,,,,,,,,,,,,,,
